id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
54188656132,65535,9eb07f8473,Go-Ahead London MHV6,goahead london mhv6 bu16oyo volvo b5lh mcv evoseti 147,485,"Go-Ahead London MHV6 (BU16 OYO)
Volvo B5LH/MCV eVoSeti
Route 147 to Ilford, Hainault Street
Canning Town Bus Station, Canning Town, LB Newham
Taken on 07/12/2024
Copyright George Batchelor 2024",2024-12-07 13:17:20,51.514731,0.007992,https://live.staticflickr.com/65535/54188656132_9eb07f8473_m.jpg,gbenviro200,33732381@N04,photo
54188288630,65535,1e94c66157,EastLondon-37556-YX60DXO-CanningTown-300124,yx60dxo enviro200 firstcapital dm44169 route309 eastlondonbus canningtown,433,"East London 37556 (YX60 DXO) 

ADL Enviro 200

Former First Capital DM44169, transferred from Lea Interchange

Route 309

Canning Town bus station
 
30th January 2024",2024-01-30 00:00:00,51.514291,0.008368,https://live.staticflickr.com/65535/54188288630_1e94c66157_m.jpg,Michael Wadman,33075566@N08,photo
54186949737,65535,fbf67379c4,EastLondon-47992-YJ12GVR-CanningTown-300124,yj12gvr ctplus optaresolo optare solo route309 eastlondonbus canningtown,470,"East London 47992 (YJ12 GVR) 

Former CT Plus Optare Solo

Route 309

Canning Town bus station
 
30th January 2024
",2024-01-30 00:00:03,51.514291,0.008368,https://live.staticflickr.com/65535/54186949737_fbf67379c4_m.jpg,Michael Wadman,33075566@N08,photo
54188115424,65535,6b76e2d37b,EastLondon-64202-LF20XKP-CanningTown-300124,lf20xkp bydd8ur route323 eastlondonbus canningtown,400,"East London 64202 (LF20 XKP) 

BYD D8UR / ADL

Route 323

Canning Town bus station
 
30th January 2024
",2024-01-30 00:00:02,51.514291,0.008368,https://live.staticflickr.com/65535/54188115424_6b76e2d37b_m.jpg,Michael Wadman,33075566@N08,photo
54186949517,65535,a17c975acf,EastLondon-47985-YJ60PFE-CanningTown-300124,yj60pfe ctplus optaresolo optare solo route309 eastlondonbus canningtown,309,"East London 47985 (YJ60 PFE) 

Former CT Plus Optare Solo

Route 309

Canning Town bus station
 
30th January 2024
",2024-01-30 00:00:01,51.514291,0.008368,https://live.staticflickr.com/65535/54186949517_a17c975acf_m.jpg,Michael Wadman,33075566@N08,photo
54187832141,65535,c7401dc847,EastLondon-37555-YX60DXM-CanningTown-300124,yx60dxm enviro200 firstcapital dm44168 route309 eastlondonbus canningtown,183,"East London 37555 (YX60 DXM) 

ADL Enviro 200

Former First Capital DM44168, transferred from Lea Interchange

Route 309

Canning Town bus station
 
30th January 2024
",2024-01-30 00:00:00,51.514291,0.008368,https://live.staticflickr.com/65535/54187832141_c7401dc847_m.jpg,Michael Wadman,33075566@N08,photo
54178251707,65535,159639b5cd,Canning Town Roundels,roundel sign canningtown tube underground tfl uk unitedkingdom britain british england london eastlondon newham urban city suburb suburban,725,,2024-12-02 08:50:29,51.513595,0.009053,https://live.staticflickr.com/65535/54178251707_159639b5cd_m.jpg,London Less Travelled,44079668@N07,photo
54159537149,65535,85169a374f,LRM177 Limmo Peninsula Ecological Park 02-Edit copy,,40,OLYMPUS DIGITAL CAMERA,2024-11-22 13:04:34,51.513162,0.003991,https://live.staticflickr.com/65535/54159537149_85169a374f_m.jpg,Derek Forss,194678093@N07,photo
54158352772,65535,4a0b978a8b,"LRM177 Canning Town, Bow Creek, River Lea 06-Edit copy",,35,OLYMPUS DIGITAL CAMERA,2024-11-22 12:50:01,51.513309,0.008325,https://live.staticflickr.com/65535/54158352772_4a0b978a8b_m.jpg,Derek Forss,194678093@N07,photo
54129585746,65535,3b3f963df6,Stagecoach East London (West Ham) 11052 at Canning Town Bus Station on Sunday 10 November 2024,,329,,2024-11-10 14:19:18,51.514344,0.008822,https://live.staticflickr.com/65535/54129585746_3b3f963df6_m.jpg,Wanderer 30,51036032@N08,photo
